id, age, sex, region, income, married, children, car, save_act, current_act, mortgage, pep
ID12166, 42, MALE, INNER_CITY, 17390.1, YES, 0, NO, YES, YES, NO, NO
ID12167, 19, MALE, TOWN, 10861.0, NO, 2, NO, YES, YES, NO, NO
ID12168, 41, FEMALE, TOWN, 34892.9, NO, 0, NO, YES, YES, YES, NO
ID12169, 30, MALE, TOWN, 19403.1, NO, 2, NO, YES, YES, NO, NO
ID12170, 31, FEMALE, RURAL, 10441.9, YES, 2, NO, NO, YES, NO, YES
ID12171, 25, MALE, INNER_CITY, 14064.9, YES, 3, YES, YES, YES, NO, NO
ID12172, 21, MALE, INNER_CITY, 8062.3, NO, 0, NO, NO, YES, NO, YES
ID12173, 36, MALE, INNER_CITY, 31982.0, YES, 3, YES, YES, YES, YES, YES
ID12174, 58, FEMALE, INNER_CITY, 23197.5, YES, 2, NO, YES, NO, YES, NO
ID12175, 64, FEMALE, INNER_CITY, 52674.0, NO, 2, YES, YES, YES, NO, YES
ID12176, 59, FEMALE, RURAL, 35610.5, NO, 2, YES, NO, NO, NO, YES
ID12177, 45, FEMALE, TOWN, 26948.0, NO, 0, NO, YES, YES, YES, NO
ID12178, 61, MALE, INNER_CITY, 49456.7, YES, 1, YES, YES, YES, YES, YES
ID12179, 30, FEMALE, INNER_CITY, 14724.5, YES, 0, YES, NO, YES, NO, NO
ID12180, 58, FEMALE, TOWN, 34524.9, YES, 2, YES, YES, NO, NO, YES
ID12181, 50, FEMALE, TOWN, 22052.1, NO, 3, NO, YES, YES, NO, YES
ID12182, 30, MALE, INNER_CITY, 27808.1, NO, 3, NO, NO, YES, NO, NO
ID12183, 29, FEMALE, INNER_CITY, 12591.4, YES, 1, NO, YES, YES, NO, NO
ID12184, 35, MALE, INNER_CITY, 16394.4, YES, 1, NO, YES, YES, NO, YES
ID12185, 62, MALE, INNER_CITY, 24026.1, YES, 0, NO, NO, YES, YES, YES
ID12186, 36, MALE, INNER_CITY, 31683.1, YES, 1, YES, YES, YES, NO, YES
ID12187, 25, FEMALE, INNER_CITY, 15525.0, YES, 0, NO, YES, YES, NO, NO
ID12188, 66, FEMALE, TOWN, 22562.2, NO, 0, YES, YES, YES, YES, NO
ID12189, 30, MALE, SUBURBAN, 15848.7, YES, 0, YES, YES, NO, YES, NO
ID12190, 54, FEMALE, INNER_CITY, 31095.6, YES, 2, NO, NO, YES, NO, YES
ID12191, 37, MALE, TOWN, 24814.5, YES, 1, YES, NO, YES, YES, YES
ID12192, 28, FEMALE, INNER_CITY, 25429.3, NO, 2, NO, YES, YES, YES, NO
ID12193, 53, FEMALE, RURAL, 34866.5, NO, 0, NO, NO, YES, NO, YES
ID12194, 61, MALE, INNER_CITY, 42579.1, YES, 2, YES, YES, YES, NO, NO
ID12195, 61, FEMALE, INNER_CITY, 41127.4, YES, 0, YES, YES, NO, NO, NO
ID12196, 18, FEMALE, INNER_CITY, 9990.11, YES, 0, NO, YES, YES, NO, NO
ID12197, 22, MALE, INNER_CITY, 7948.62, YES, 1, NO, NO, NO, YES, NO
ID12198, 34, MALE, TOWN, 30870.8, YES, 2, YES, YES, YES, YES, YES
ID12199, 35, FEMALE, INNER_CITY, 12125.8, NO, 2, NO, YES, YES, NO, NO
ID12200, 18, FEMALE, RURAL, 15348.9, YES, 0, YES, NO, YES, NO, NO
ID12201, 54, MALE, INNER_CITY, 26707.9, YES, 1, NO, YES, YES, YES, YES
ID12202, 27, FEMALE, INNER_CITY, 11604.4, YES, 2, YES, YES, YES, NO, NO
ID12203, 42, MALE, INNER_CITY, 15499.9, YES, 0, YES, NO, YES, YES, YES
ID12204, 43, MALE, TOWN, 33088.5, NO, 0, NO, YES, YES, YES, NO
ID12205, 64, FEMALE, INNER_CITY, 34513.6, YES, 1, NO, YES, YES, NO, YES
ID12206, 43, MALE, TOWN, 32395.5, YES, 3, YES, YES, YES, NO, NO
ID12207, 49, MALE, RURAL, 46633.0, YES, 0, YES, YES, NO, NO, NO
ID12208, 23, MALE, INNER_CITY, 13039.9, YES, 0, NO, NO, YES, NO, NO
ID12209, 23, MALE, INNER_CITY, 12681.9, NO, 0, NO, YES, YES, NO, YES
ID12210, 30, FEMALE, INNER_CITY, 24031.5, YES, 2, YES, YES, YES, YES, NO
ID12211, 36, MALE, TOWN, 37330.5, NO, 2, NO, YES, YES, NO, YES
ID12212, 34, MALE, INNER_CITY, 25333.2, YES, 3, YES, NO, NO, YES, NO
ID12213, 51, FEMALE, INNER_CITY, 37094.2, YES, 0, YES, NO, YES, NO, NO
ID12214, 36, MALE, TOWN, 33630.6, NO, 2, YES, YES, YES, NO, YES
ID12215, 56, MALE, INNER_CITY, 43228.2, YES, 1, YES, YES, YES, NO, YES
ID12216, 54, FEMALE, INNER_CITY, 47796.8, YES, 0, NO, YES, YES, NO, NO
ID12217, 56, FEMALE, TOWN, 21730.3, YES, 2, NO, YES, NO, NO, NO
ID12218, 26, MALE, INNER_CITY, 10044.1, YES, 3, NO, YES, YES, YES, NO
ID12219, 39, MALE, TOWN, 17270.1, NO, 0, YES, NO, NO, NO, YES
ID12220, 64, FEMALE, RURAL, 45765.0, YES, 3, YES, YES, YES, NO, YES
ID12221, 46, MALE, RURAL, 29525.5, NO, 2, NO, YES, NO, YES, NO
ID12222, 62, FEMALE, RURAL, 54863.8, YES, 1, YES, YES, YES, NO, YES
ID12223, 36, FEMALE, TOWN, 20799.0, YES, 1, NO, YES, NO, YES, YES
ID12224, 35, FEMALE, RURAL, 33028.3, NO, 1, NO, YES, YES, NO, YES
ID12225, 47, MALE, RURAL, 45031.9, NO, 3, YES, YES, NO, NO, YES
ID12226, 47, MALE, INNER_CITY, 39010.8, YES, 2, NO, NO, YES, NO, YES
ID12227, 37, FEMALE, TOWN, 25257.7, YES, 0, YES, YES, YES, NO, NO
ID12228, 48, FEMALE, INNER_CITY, 42603.9, YES, 0, NO, YES, YES, NO, NO
ID12229, 41, MALE, TOWN, 14092.7, YES, 3, YES, YES, YES, NO, NO
ID12230, 27, FEMALE, RURAL, 21350.3, NO, 0, YES, YES, YES, NO, YES
ID12231, 43, MALE, INNER_CITY, 23246.4, NO, 2, NO, NO, YES, NO, NO
ID12232, 61, MALE, RURAL, 41609.5, YES, 3, NO, YES, YES, YES, NO
ID12233, 52, FEMALE, SUBURBAN, 16716.1, NO, 2, YES, YES, YES, NO, NO
ID12234, 64, FEMALE, SUBURBAN, 36436.4, YES, 0, YES, NO, YES, NO, NO
ID12235, 66, FEMALE, TOWN, 59503.8, YES, 2, YES, YES, YES, YES, YES
ID12236, 53, FEMALE, TOWN, 31334.8, YES, 1, YES, YES, YES, NO, YES
ID12237, 20, FEMALE, INNER_CITY, 14048.9, YES, 2, YES, NO, YES, YES, NO
ID12238, 57, FEMALE, INNER_CITY, 39205.3, NO, 0, NO, YES, YES, NO, YES
ID12239, 65, FEMALE, RURAL, 42173.9, YES, 0, NO, YES, YES, NO, NO
ID12240, 64, FEMALE, INNER_CITY, 55263.0, NO, 1, NO, YES, YES, NO, YES
ID12241, 52, MALE, INNER_CITY, 37095.2, YES, 3, NO, YES, YES, NO, NO
ID12242, 47, FEMALE, INNER_CITY, 22791.4, YES, 0, NO, NO, YES, NO, NO
ID12243, 28, FEMALE, TOWN, 17240.6, YES, 1, YES, NO, NO, YES, NO
ID12244, 64, MALE, TOWN, 48974.8, YES, 0, YES, YES, YES, YES, NO
ID12245, 25, MALE, INNER_CITY, 18923.0, YES, 1, NO, YES, YES, NO, YES
ID12246, 58, MALE, SUBURBAN, 51204.2, YES, 0, NO, YES, NO, YES, YES
ID12247, 34, MALE, TOWN, 20236.2, YES, 2, YES, NO, YES, NO, NO
ID12248, 20, FEMALE, INNER_CITY, 18860.3, NO, 2, NO, YES, YES, NO, NO
ID12249, 63, MALE, RURAL, 25732.5, YES, 0, YES, YES, NO, NO, NO
ID12250, 30, FEMALE, SUBURBAN, 28240.4, YES, 3, YES, YES, YES, NO, NO
ID12251, 53, MALE, RURAL, 28193.6, YES, 1, YES, YES, YES, NO, YES
ID12252, 43, MALE, TOWN, 36432.8, NO, 2, YES, NO, YES, NO, YES
ID12253, 63, MALE, TOWN, 54618.8, YES, 2, NO, YES, NO, YES, YES
ID12254, 33, MALE, INNER_CITY, 24760.8, YES, 1, NO, YES, YES, YES, YES
ID12255, 41, MALE, RURAL, 23356.1, NO, 2, YES, NO, NO, NO, NO
ID12256, 20, FEMALE, SUBURBAN, 8143.75, YES, 2, NO, YES, YES, NO, YES
ID12257, 50, MALE, TOWN, 26462.5, YES, 0, YES, YES, YES, NO, NO
ID12258, 24, MALE, RURAL, 20467.3, YES, 2, YES, YES, YES, NO, NO
ID12259, 60, FEMALE, TOWN, 21506.2, YES, 0, NO, NO, YES, NO, YES
ID12260, 44, FEMALE, TOWN, 15315.3, YES, 1, NO, YES, YES, NO, YES
ID12261, 23, MALE, INNER_CITY, 18875.7, YES, 2, YES, YES, YES, NO, NO
ID12262, 40, FEMALE, INNER_CITY, 12977.2, YES, 0, NO, NO, NO, NO, NO
ID12263, 49, FEMALE, TOWN, 20708.5, NO, 3, NO, NO, YES, NO, NO
ID12264, 21, FEMALE, TOWN, 7549.38, NO, 1, YES, NO, YES, NO, NO
ID12265, 40, FEMALE, INNER_CITY, 24904.0, YES, 0, NO, NO, NO, NO, NO
ID12266, 26, MALE, RURAL, 24071.8, YES, 1, NO, NO, YES, YES, YES
ID12267, 20, MALE, TOWN, 9589.91, NO, 1, NO, YES, YES, YES, NO
ID12268, 24, MALE, INNER_CITY, 8562.86, NO, 1, NO, NO, NO, YES, NO
ID12269, 37, FEMALE, TOWN, 26707.5, NO, 0, YES, YES, YES, NO, NO
ID12270, 56, MALE, INNER_CITY, 34020.5, YES, 0, NO, NO, YES, NO, NO
ID12271, 52, MALE, INNER_CITY, 49175.7, YES, 0, YES, YES, YES, NO, NO
ID12272, 22, MALE, INNER_CITY, 19726.3, YES, 2, NO, NO, YES, NO, NO
ID12273, 35, MALE, INNER_CITY, 24346.6, YES, 3, YES, YES, YES, NO, NO
ID12274, 34, MALE, RURAL, 26999.4, YES, 1, YES, YES, YES, NO, YES
ID12275, 67, FEMALE, TOWN, 41558.1, YES, 2, NO, YES, YES, NO, YES
ID12276, 58, FEMALE, INNER_CITY, 56340.3, NO, 0, NO, YES, YES, NO, YES
ID12277, 40, MALE, TOWN, 37558.5, YES, 0, YES, YES, YES, NO, NO
ID12278, 41, FEMALE, INNER_CITY, 30099.3, YES, 0, YES, YES, YES, YES, YES
ID12279, 43, MALE, INNER_CITY, 15254.8, YES, 0, NO, NO, NO, NO, YES
ID12280, 63, MALE, INNER_CITY, 36086.1, YES, 2, NO, NO, YES, NO, YES
ID12281, 22, FEMALE, INNER_CITY, 17655.0, YES, 1, NO, YES, YES, YES, YES
ID12282, 60, MALE, RURAL, 56658.9, NO, 0, NO, YES, YES, NO, YES
ID12283, 65, FEMALE, INNER_CITY, 37706.5, NO, 0, YES, YES, YES, YES, NO
ID12284, 48, FEMALE, INNER_CITY, 18516.0, YES, 2, YES, YES, YES, YES, NO
ID12285, 38, FEMALE, INNER_CITY, 29622.0, NO, 0, YES, YES, NO, YES, NO
ID12286, 49, MALE, RURAL, 32669.9, YES, 1, YES, YES, YES, YES, YES
ID12287, 20, FEMALE, INNER_CITY, 18275.5, YES, 0, NO, NO, NO, YES, YES
ID12288, 48, FEMALE, TOWN, 34410.0, YES, 1, NO, NO, YES, NO, YES
ID12289, 38, MALE, INNER_CITY, 34866.9, YES, 2, YES, NO, YES, YES, NO
ID12290, 41, FEMALE, INNER_CITY, 21796.6, YES, 0, NO, NO, YES, NO, NO
ID12291, 67, FEMALE, SUBURBAN, 63130.1, YES, 2, YES, YES, YES, NO, YES
ID12292, 39, MALE, INNER_CITY, 14996.4, YES, 1, YES, YES, NO, NO, NO
ID12293, 64, FEMALE, RURAL, 49024.9, YES, 3, NO, YES, YES, NO, YES
ID12294, 41, MALE, INNER_CITY, 16249.8, YES, 0, YES, NO, YES, YES, YES
ID12295, 55, MALE, SUBURBAN, 36192.1, YES, 2, YES, NO, YES, NO, YES
ID12296, 52, MALE, INNER_CITY, 17839.9, YES, 1, NO, YES, NO, YES, YES
ID12297, 30, FEMALE, INNER_CITY, 18802.4, NO, 0, NO, NO, YES, YES, YES
ID12298, 52, MALE, INNER_CITY, 48720.3, YES, 2, YES, YES, YES, NO, YES
ID12299, 26, MALE, INNER_CITY, 14585.9, NO, 2, NO, NO, YES, YES, NO
ID12300, 26, FEMALE, INNER_CITY, 20819.0, YES, 0, NO, YES, YES, NO, YES
ID12301, 46, MALE, TOWN, 26077.8, YES, 1, YES, YES, YES, NO, YES
ID12302, 46, FEMALE, TOWN, 41627.1, YES, 0, NO, YES, YES, YES, NO
ID12303, 52, MALE, INNER_CITY, 16977.3, YES, 0, NO, NO, YES, NO, NO
ID12304, 37, MALE, INNER_CITY, 19012.8, NO, 3, YES, NO, YES, NO, NO
ID12305, 22, MALE, INNER_CITY, 12764.8, YES, 1, NO, YES, YES, YES, YES
ID12306, 18, MALE, INNER_CITY, 14388.6, NO, 0, YES, NO, YES, YES, YES
ID12307, 63, MALE, INNER_CITY, 59409.1, NO, 0, YES, YES, YES, NO, YES
ID12308, 25, FEMALE, INNER_CITY, 14960.2, YES, 0, NO, YES, YES, YES, NO
ID12309, 67, MALE, INNER_CITY, 39666.6, YES, 0, YES, YES, YES, NO, NO
ID12310, 27, MALE, INNER_CITY, 20771.9, NO, 0, NO, YES, NO, NO, YES
ID12311, 61, MALE, INNER_CITY, 24474.1, NO, 0, YES, NO, NO, NO, YES
ID12312, 58, MALE, TOWN, 33123.7, YES, 1, YES, YES, YES, NO, YES
ID12313, 22, MALE, INNER_CITY, 14433.4, YES, 0, YES, YES, YES, NO, YES
ID12314, 28, MALE, TOWN, 13175.5, NO, 1, NO, NO, YES, NO, YES
ID12315, 23, MALE, INNER_CITY, 9824.37, YES, 0, NO, YES, YES, NO, NO
ID12316, 27, MALE, SUBURBAN, 17610.3, YES, 0, NO, YES, YES, NO, NO
ID12317, 27, FEMALE, SUBURBAN, 15156.2, YES, 0, YES, NO, YES, NO, NO
ID12318, 40, FEMALE, INNER_CITY, 31774.1, YES, 3, YES, YES, YES, YES, NO
ID12319, 39, MALE, TOWN, 31693.5, NO, 0, YES, YES, NO, NO, YES
ID12320, 35, FEMALE, INNER_CITY, 28598.7, YES, 0, YES, YES, YES, NO, NO
ID12321, 37, FEMALE, INNER_CITY, 26261.7, NO, 2, YES, NO, NO, NO, NO
ID12322, 47, MALE, INNER_CITY, 42124.1, YES, 2, NO, YES, YES, NO, YES
ID12323, 42, FEMALE, INNER_CITY, 39308.7, YES, 1, NO, YES, YES, NO, YES
ID12324, 67, FEMALE, INNER_CITY, 43530.0, YES, 0, NO, YES, YES, YES, NO
ID12325, 57, MALE, RURAL, 49874.4, YES, 3, NO, YES, YES, NO, YES
ID12326, 47, FEMALE, RURAL, 27434.8, NO, 0, YES, YES, YES, NO, YES
ID12327, 67, MALE, INNER_CITY, 50474.6, YES, 2, YES, YES, YES, NO, YES
ID12328, 56, MALE, TOWN, 24888.2, NO, 0, NO, YES, YES, NO, YES
ID12329, 37, MALE, RURAL, 28021.6, NO, 0, YES, NO, YES, YES, YES
ID12330, 27, MALE, INNER_CITY, 12279.5, NO, 0, YES, NO, NO, NO, YES
ID12331, 59, FEMALE, INNER_CITY, 30189.4, YES, 0, YES, NO, YES, YES, YES
ID12332, 31, MALE, INNER_CITY, 28969.4, NO, 1, NO, NO, YES, YES, NO
ID12333, 31, MALE, SUBURBAN, 14058.5, YES, 0, NO, NO, YES, YES, YES
ID12334, 32, FEMALE, TOWN, 30404.3, YES, 0, YES, YES, YES, NO, NO
ID12335, 57, FEMALE, RURAL, 41438.2, NO, 3, NO, YES, NO, NO, NO
ID12336, 49, FEMALE, INNER_CITY, 16711.3, NO, 1, NO, YES, YES, YES, YES
ID12337, 65, MALE, TOWN, 52255.9, NO, 2, YES, YES, YES, NO, YES
ID12338, 22, FEMALE, INNER_CITY, 17866.9, YES, 2, NO, YES, YES, YES, NO
ID12339, 26, FEMALE, RURAL, 18067.5, YES, 2, NO, YES, NO, NO, NO
ID12340, 23, MALE, INNER_CITY, 12823.7, YES, 0, YES, YES, YES, NO, NO
ID12341, 26, FEMALE, RURAL, 11299.3, YES, 2, YES, NO, NO, NO, NO
ID12342, 59, FEMALE, INNER_CITY, 56031.1, NO, 0, YES, YES, YES, NO, YES
ID12343, 67, MALE, INNER_CITY, 35263.5, YES, 1, YES, YES, YES, NO, YES
ID12344, 34, FEMALE, INNER_CITY, 19968.1, YES, 0, YES, YES, YES, NO, NO
ID12345, 50, MALE, RURAL, 27825.5, YES, 2, YES, YES, NO, NO, NO
ID12346, 46, MALE, SUBURBAN, 37773.9, NO, 0, YES, YES, YES, YES, NO
ID12347, 23, FEMALE, INNER_CITY, 7606.25, NO, 3, YES, NO, NO, NO, NO
ID12348, 26, MALE, RURAL, 21384.4, YES, 0, NO, NO, YES, NO, NO
ID12349, 40, MALE, TOWN, 20347.0, YES, 3, NO, YES, YES, NO, NO
ID12350, 36, MALE, TOWN, 21332.3, YES, 3, YES, NO, YES, NO, NO
ID12351, 65, MALE, INNER_CITY, 57671.7, NO, 0, NO, YES, YES, YES, NO
ID12352, 45, FEMALE, TOWN, 36057.8, YES, 1, YES, YES, YES, YES, YES
ID12353, 23, MALE, INNER_CITY, 14290.5, YES, 2, NO, NO, YES, YES, NO
ID12354, 42, FEMALE, TOWN, 17882.9, YES, 1, NO, NO, NO, NO, YES
ID12355, 21, FEMALE, RURAL, 10629.1, NO, 3, NO, YES, YES, YES, NO
ID12356, 62, FEMALE, INNER_CITY, 24262.8, NO, 0, YES, NO, YES, NO, YES
ID12357, 49, FEMALE, SUBURBAN, 26097.9, NO, 2, NO, YES, YES, NO, NO
ID12358, 28, FEMALE, TOWN, 23371.0, YES, 2, NO, NO, YES, YES, NO
ID12359, 38, FEMALE, TOWN, 21495.6, NO, 3, NO, NO, YES, YES, NO
ID12360, 36, MALE, TOWN, 12166.9, NO, 0, NO, NO, NO, NO, NO
ID12361, 22, MALE, SUBURBAN, 17180.2, YES, 0, NO, YES, YES, NO, NO
ID12362, 40, FEMALE, TOWN, 28882.3, YES, 1, NO, YES, YES, YES, YES
ID12363, 40, FEMALE, TOWN, 21612.2, YES, 0, NO, NO, YES, NO, NO
ID12364, 60, FEMALE, INNER_CITY, 46358.4, YES, 0, YES, YES, YES, YES, NO
ID12365, 23, MALE, INNER_CITY, 19166.0, NO, 0, YES, YES, NO, NO, YES
ID12366, 21, MALE, INNER_CITY, 17921.8, YES, 1, YES, NO, NO, NO, YES
ID12367, 58, MALE, TOWN, 33229.0, NO, 0, YES, YES, YES, NO, YES
ID12368, 48, FEMALE, SUBURBAN, 30396.1, NO, 0, NO, YES, YES, NO, YES
ID12369, 63, FEMALE, TOWN, 34625.2, YES, 0, YES, NO, YES, NO, NO
ID12370, 20, MALE, TOWN, 16672.8, NO, 3, YES, NO, YES, YES, NO
ID12371, 67, FEMALE, SUBURBAN, 60747.5, NO, 2, NO, YES, YES, YES, YES
ID12372, 62, FEMALE, INNER_CITY, 56394.3, NO, 0, YES, YES, YES, NO, YES
ID12373, 36, MALE, TOWN, 13236.4, YES, 0, NO, YES, YES, NO, NO
ID12374, 31, MALE, INNER_CITY, 28409.4, YES, 1, YES, NO, YES, NO, YES
ID12375, 42, FEMALE, INNER_CITY, 27056.5, YES, 0, YES, YES, YES, NO, NO
ID12376, 18, MALE, RURAL, 9362.58, YES, 0, YES, NO, YES, YES, YES
ID12377, 46, FEMALE, SUBURBAN, 28702.7, NO, 1, NO, YES, YES, YES, YES
ID12378, 25, MALE, TOWN, 22366.1, YES, 1, YES, YES, YES, NO, YES
ID12379, 65, FEMALE, RURAL, 24477.5, NO, 0, NO, YES, NO, YES, NO
ID12380, 40, MALE, TOWN, 36972.4, YES, 1, NO, NO, YES, YES, YES
ID12381, 32, MALE, INNER_CITY, 22327.8, YES, 1, NO, NO, NO, NO, YES
ID12382, 18, FEMALE, INNER_CITY, 15610.2, YES, 0, NO, YES, YES, NO, NO
ID12383, 64, MALE, INNER_CITY, 54314.5, YES, 1, YES, YES, NO, NO, YES
ID12384, 43, FEMALE, INNER_CITY, 39175.8, YES, 3, NO, YES, YES, YES, NO
ID12385, 22, FEMALE, INNER_CITY, 13739.0, YES, 3, NO, YES, YES, NO, NO
ID12386, 25, MALE, TOWN, 9485.84, YES, 0, NO, NO, NO, NO, NO
ID12387, 39, MALE, INNER_CITY, 24675.7, YES, 1, YES, YES, YES, YES, YES
ID12388, 58, FEMALE, INNER_CITY, 28253.6, YES, 3, NO, NO, YES, NO, NO
ID12389, 33, MALE, INNER_CITY, 14136.5, YES, 1, NO, YES, NO, NO, NO
ID12390, 52, FEMALE, RURAL, 37162.1, YES, 1, YES, YES, YES, NO, YES
ID12391, 23, MALE, INNER_CITY, 13519.2, NO, 0, NO, YES, YES, NO, YES
ID12392, 44, FEMALE, INNER_CITY, 39253.6, NO, 0, YES, YES, NO, NO, YES
ID12393, 51, MALE, RURAL, 46323.8, YES, 2, YES, YES, YES, YES, YES
ID12394, 26, FEMALE, TOWN, 20950.7, YES, 0, NO, YES, YES, NO, NO
ID12395, 42, MALE, TOWN, 22495.7, YES, 0, NO, YES, NO, YES, NO
ID12396, 34, MALE, TOWN, 32548.9, YES, 0, YES, YES, YES, YES, NO
ID12397, 54, FEMALE, RURAL, 24583.4, NO, 2, YES, YES, YES, YES, NO
ID12398, 18, MALE, RURAL, 8639.24, YES, 2, NO, NO, NO, NO, NO
